name:en,addr:street,addr:housenumber,category,geometry
ATB-Market,,,Mall / Supermarket,POINT (30.721465800000004 46.41646769999999)
,,,Office / Business Center,POINT (30.718548399999992 46.42125359999999)
,,,Office / Business Center,POINT (30.710853799999995 46.42190769999999)
,,,Office / Business Center,POINT (30.710348100000004 46.4270338)
,,,Office / Business Center,POINT (30.715625899999996 46.427197799999995)
,,,Office / Business Center,POINT (30.721150499999993 46.424252300000006)
,,,Office / Business Center,POINT (30.725193199999993 46.42737499999999)
,,,Office / Business Center,POINT (30.7342096 46.47626619999999)
Apostille Center,,,Office / Business Center,POINT (30.737810799999995 46.4753585)
,,,Mall / Supermarket,POINT (30.7236829 46.4840651)
,,,Office / Business Center,POINT (30.7291935 46.47909359999999)
,,,Office / Business Center,POINT (30.731000800000004 46.4781964)
,,,Office / Business Center,POINT (30.722575299999995 46.48288569999999)
,,,Office / Business Center,POINT (30.7258692 46.46990929999999)
ATB-Market,,,Mall / Supermarket,POINT (30.7413598 46.47440619999999)
UBERDRIVE - official Uber partner,,,Office / Business Center,POINT (30.7232753 46.4766362)
,,,Office / Business Center,POINT (30.727891599999996 46.48238059999999)
,,,Office / Business Center,POINT (30.726706 46.483341)
,,,Office / Business Center,POINT (30.725032299999995 46.48468179999999)
,,,Office / Business Center,POINT (30.7240292 46.4854427)
,,,Office / Business Center,POINT (30.7255473 46.4789637)
,,,Office / Business Center,POINT (30.7256224 46.4790228)
,,,Office / Business Center,POINT (30.729991699999992 46.48731899999999)
,,,Office / Business Center,POINT (30.7301419 46.4825542)
,Грецька вулиця,30,Entertainment,POINT (30.7393675 46.482770699999996)
AbiTerm,,,Office / Business Center,POINT (30.6848756 46.4728965)
,,,Office / Business Center,POINT (30.7302757 46.40826969999999)
,,,Office / Business Center,POINT (30.723042600000003 46.42475189999999)
,проспект Князя Ярослава Мудрого,29,Office / Business Center,POINT (30.7100014 46.3970119)
,,,Sport Facility,POINT (30.7653556 46.4298523)
,Європейська вулиця,25,Tourism / Beach,POINT (30.739111999999995 46.4823859)
Tavria V,,,Mall / Supermarket,POINT (30.709850000000003 46.4060193)
Tavria-V,Балківська вулиця,28,Mall / Supermarket,POINT (30.7123598 46.490829)
,,,Office / Business Center,POINT (30.712603900000005 46.4885909)
Plansk Cargo Ships,,,Office / Business Center,POINT (30.7501887 46.4816202)
"Publishing house ""Chernomore""",,,Office / Business Center,POINT (30.703923599999996 46.4415376)
Odesa Railway,,,Office / Business Center,POINT (30.7397927 46.468945)
ATB-Market,,,Mall / Supermarket,POINT (30.7098493 46.4872042)
,,,Office / Business Center,POINT (30.792892999999996 46.5897463)
Real estate agency Capitals,,,Office / Business Center,POINT (30.7990643 46.585983)
Tochka,,,Mall / Supermarket,POINT (30.7432247 46.4301402)
